,AdjD,AdjEM,AdjO,AdjT,Conf,Luck,OppD,OppO,Rank,Team,W-L
0,21,+32.15,116.5,84.4,ACC,1,351,59.1,1,Virginia 1,31-2
1,1,+31.40,127.4,96.0,BE,22,168,68.2,2,Villanova 1,30-4
2,3,+29.12,122.6,93.5,ACC,7,78,70.0,3,Duke 2,26-7
3,54,+27.00,113.1,86.1,Amer,2,322,64.6,4,Cincinnati 2,30-4
4,2,+26.66,123.2,96.6,B10,29,219,67.2,5,Purdue 2,28-6
5,9,+26.34,120.0,93.6,B10,9,222,67.1,6,Michigan St. 3,29-4
6,4,+25.03,121.9,96.9,ACC,34,50,70.9,7,North Carolina 2,25-10
7,12,+24.81,119.8,95.0,WCC,15,125,68.9,8,Gonzaga 4,30-4
8,6,+23.24,120.9,97.7,B12,46,162,68.4,9,Kansas 1,27-7
9,29,+23.19,115.9,92.7,B10,4,333,64.3,10,Michigan 3,28-7
10,40,+22.15,114.8,92.7,SEC,5,271,66.1,11,Tennessee 3,25-8
11,46,+21.95,114.0,92.1,B12,3,248,66.5,12,Texas Tech 3,24-9
12,14,+21.77,119.1,97.4,B12,39,118,69.0,13,West Virginia 5,24-10
13,7,+21.68,120.7,99.0,BE,59,61,70.4,14,Xavier 1,28-5
14,27,+21.10,116.1,95.0,B10,17,260,66.3,15,Ohio St. 5,24-8
15,16,+20.63,118.2,97.5,SEC,44,21,72.2,16,Auburn 4,25-7
16,31,+20.54,115.8,95.2,Amer,18,174,68.2,17,Houston 6,26-7
17,25,+20.39,116.4,96.0,SEC,23,155,68.5,18,Kentucky 5,24-10
18,48,+20.26,113.8,93.5,ACC,8,296,65.6,19,Clemson 5,23-9
19,5,+20.07,121.9,101.8,Amer,107,149,68.6,20,Wichita St. 4,25-7
20,15,+19.37,119.0,99.6,P12,70,215,67.3,21,Arizona 4,27-7
21,8,+18.92,120.6,101.7,B12,104,142,68.7,22,TCU 6,21-11
22,37,+18.71,115.1,96.4,SEC,25,239,66.7,23,Florida 6,20-12
23,10,+18.20,119.9,101.7,MWC,105,99,69.4,24,Nevada 7,27-7
24,32,+17.86,115.7,97.9,BE,48,189,67.8,25,Butler 10,20-13
25,26,+17.33,116.3,99.0,BE,58,104,69.3,26,Seton Hall 8,21-11
