,Rank,Rating,Team
0,1,94.73,Villanova
1,2,93.65,Virginia
2,3,93.35,Duke
3,4,92.11,Michigan St.
4,5,92.08,Purdue
5,6,91.68,Kansas
6,7,91.39,Cincinnati
7,8,91.02,North Carolina
8,9,89.98,West Virginia
9,10,89.77,Gonzaga
10,11,88.92,Michigan
11,12,88.62,Xavier-Ohio
12,13,88.34,Texas Tech
13,14,88.15,Kentucky
14,15,87.92,Wichita St.
15,16,87.73,Arizona
16,17,86.74,Tennessee
17,18,86.61,Florida
18,19,86.41,TCU
19,20,86.17,Houston
20,21,85.96,Creighton
21,22,85.93,Ohio St.
22,23,85.82,Louisville
23,24,85.56,Clemson
24,25,85.37,Notre Dame
25,26,85.37,Seton Hall
26,27,85.1,Texas A&M;
27,28,85.1,Butler
28,29,84.99,Texas
29,30,84.97,Baylor
30,31,84.84,Arkansas
31,32,84.8,Miami FL
32,33,84.76,Auburn
33,34,84.52,Florida St.
34,35,84.37,Southern California
35,36,84.35,Oklahoma
36,37,84.33,Virginia Tech
37,38,84.05,Penn St.
38,39,83.95,Nevada
39,40,83.95,Maryland
40,41,83.94,Kansas St.
41,42,83.89,St. Mary's
42,43,83.73,Missouri
43,44,83.67,UCLA
44,45,83.43,Rhode Island
45,46,82.95,Alabama
46,47,82.95,Oklahoma St.
47,48,82.63,North Carolina St.
48,49,82.57,Arizona St.
49,50,82.51,Syracuse
50,51,82.47,Marquette
51,52,82.47,San Diego St.
52,53,82.13,Davidson
53,54,82.03,Oregon
54,55,82.02,Providence
55,56,81.56,Wisconsin
56,57,81.25,Utah
57,58,81.17,Nebraska
58,59,81.1,Georgia
59,60,81.01,St. Bonaventure
60,61,80.95,Boise St.
61,62,80.75,Loyola-Chicago
62,63,80.74,SMU
63,64,80.59,Middle Tennessee
64,65,80.47,Mississippi St.
65,66,80.44,Indiana
66,67,80.37,New Mexico St.
67,68,80.23,St. John's
68,69,80.15,BYU
69,70,80.11,LSU
70,71,80.07,Northwestern
71,72,79.82,South Carolina
72,73,79.65,Buffalo
73,74,79.57,Old Dominion
74,75,79.5,Boston College
75,76,79.41,Western Kentucky
76,77,79.39,Iowa
77,78,79.13,Vanderbilt
78,79,79.12,Stanford
79,80,78.79,Iowa St.
80,81,78.73,South Dakota St.
81,82,78.67,Murray St.
82,83,78.62,Vermont
83,84,78.59,Louisiana-Lafayette
84,85,78.41,Temple
85,86,78.38,Fresno St.
86,87,78.34,Minnesota
87,88,78.32,Illinois
88,89,78.31,South Dakota
89,90,78.29,Wake Forest
90,91,77.8,Bucknell
91,92,77.54,Oregon St.
92,93,77.49,Central Florida(UCF)
93,94,77.49,Washington
94,95,77.38,Georgetown
95,96,77.3,Belmont
96,97,77.29,Colorado
97,98,77.02,Montana
98,99,76.97,Mississippi
99,100,76.89,Georgia Tech
100,101,76.77,Tulsa
101,102,76.77,St. Joseph's-Pa.
102,103,76.69,North Carolina Greensboro
103,104,76.65,Northeastern
104,105,76.58,Northern Kentucky
105,106,76.42,East Tennessee St.(ETS
106,107,76.34,Nevada Las Vegas
107,108,76.33,DePaul
108,109,76.18,New Mexico
109,110,76.15,Georgia St.
110,111,76.07,Furman
111,112,75.75,College of Charleston
112,113,75.64,Grand Canyon
113,114,75.64,Northern Iowa
114,115,75.57,Virginia Commonwealth
115,116,75.47,Utah Valley
116,117,75.42,Toledo
117,118,75.37,Pennsylvania
118,119,75.35,Stephen F. Austin
119,120,75.34,UAB
120,121,75.2,Rutgers
121,122,75.13,Wyoming
