,east,midwest,south,west
0,Villanova,Kansas,Virginia,Xavier-Ohio
1,Radford,Pennsylvania,UMBC,North Carolina Central
2,Virginia Tech,Seton Hall,Creighton,Missouri
3,Alabama,North Carolina St.,Kansas St.,Florida St.
4,West Virginia,Clemson,Kentucky,Ohio St.
5,Murray St.,New Mexico St.,Davidson,South Dakota St.
6,Wichita St.,Auburn,Arizona,Gonzaga
7,Marshall,College of Charleston,Buffalo,North Carolina Greensboro
8,Florida,TCU,Miami FL,Houston
9,UCLA,Arizona St.,Loyola-Chicago,San Diego St.
10,Texas Tech,Michigan St.,Tennessee,Michigan
11,Stephen F. Austin,Bucknell,Wright St.,Montana
12,Arkansas,Rhode Island,Nevada,Texas A&M
13,Butler,Oklahoma,Texas,Providence
14,Purdue,Duke,Cincinnati,North Carolina
15,CS Fullerton,Iona College,Georgia St.,Lipscomb
